sector,land_type,total_area_hectares,affected_landowners_count,plots_count,current_stage,days_in_current_stage,env_forest_clearance_status,litigation_cases_count,public_objections_count,compensation_disparity_ratio,sia_completed,rr_plan_approved,risk_score,is_delayed,delay_stage
Urban Infrastructure,Residential,9.87,45,105,R&R Implementation,83,Not Applicable,0,2,0.84,1,1,14.1,0,Compensation
Highways,Agricultural,249.9,587,1077,Declaration of Acquisition (Sec 19),85,Pending,0,6,0.87,1,1,58.4,1,Compensation
Urban Infrastructure,Government/Barren,30.95,16,37,Preliminary Notification (Sec 11),67,Not Applicable,0,2,0.75,1,1,25.8,0,Compensation
Highways,Commercial,34.09,208,453,Survey & Demarcation,22,Approved,0,5,0.82,0,1,9.4,0,Documentation/Survey
Industrial,Agricultural,30.9,56,121,Physical Possession,40,Approved,3,6,0.86,1,1,67.1,1,Legal
Railways,Commercial,249.05,1090,2540,Declaration of Acquisition (Sec 19),142,Approved,0,1,0.8,1,1,27.1,0,Documentation/Survey
Irrigation,Agricultural,73.02,153,245,Declaration of Acquisition (Sec 19),18,Approved,0,4,0.81,1,0,25.8,0,Rehabilitation & Resettlement
Irrigation,Forest,67.51,31,68,Survey & Demarcation,72,Pending,1,0,0.91,1,1,43.2,0,Approval
Irrigation,Forest,454.45,235,465,Physical Possession,60,Approved,2,5,0.77,1,1,58.0,1,Legal
Irrigation,Agricultural,235.83,359,647,Preliminary Notification (Sec 11),21,Pending,1,2,0.79,1,1,48.8,0,Approval
Industrial,Agricultural,19.42,30,56,Declaration of Acquisition (Sec 19),94,Approved,0,7,0.72,1,1,57.3,1,Compensation
Urban Infrastructure,Government/Barren,15.99,4,9,Physical Possession,307,Approved,0,2,0.82,1,1,27.0,0,Compensation
Industrial,Forest,62.81,15,28,R&R Implementation,227,Rejected,0,1,0.79,1,1,79.6,1,Approval
Railways,Government/Barren,249.34,91,163,Survey & Demarcation,34,Not Applicable,0,0,0.73,1,1,22.4,0,Compensation
Irrigation,Residential,133.79,716,1580,R&R Implementation,21,Approved,0,1,0.82,1,1,12.4,0,Documentation/Survey
Urban Infrastructure,Government/Barren,48.68,20,29,Hearing of Objections (Sec 15),23,Approved,1,1,0.79,1,1,34.2,0,Legal
Energy,Agricultural,46.19,90,166,R&R Implementation,49,Pending,1,4,1.01,1,0,43.5,0,Approval
Urban Infrastructure,Government/Barren,13.72,4,7,Declaration of Acquisition (Sec 19),203,Approved,0,1,0.71,1,1,49.8,0,Compensation
Highways,Government/Barren,246.74,96,144,Survey & Demarcation,134,Approved,2,2,0.73,1,1,61.5,1,Legal
Energy,Agricultural,67.61,162,400,Preliminary Notification (Sec 11),139,Approved,0,8,0.82,0,1,58.1,1,Compensation
Energy,Agricultural,55.4,143,206,Award & Compensation (Sec 23),140,Approved,0,0,0.83,1,1,21.7,0,Compensation
Irrigation,Agricultural,300.52,645,1373,Survey & Demarcation,141,Approved,0,4,0.62,1,1,33.5,0,Compensation
Irrigation,Government/Barren,235.7,87,160,Award & Compensation (Sec 23),218,Approved,0,0,1.04,1,0,20.3,0,Rehabilitation & Resettlement
Energy,Agricultural,70.21,121,295,Preliminary Notification (Sec 11),59,Approved,0,0,0.83,0,0,45.8,0,Rehabilitation & Resettlement
Industrial,Forest,29.02,8,12,Physical Possession,15,Pending,0,0,0.75,1,1,55.5,1,Approval
Irrigation,Government/Barren,382.82,148,314,R&R Implementation,227,Approved,0,0,1.03,1,1,18.5,0,Documentation/Survey
Energy,Residential,73.46,372,417,Award & Compensation (Sec 23),49,Approved,4,6,0.94,1,1,44.9,0,Legal
Urban Infrastructure,Commercial,64.62,192,469,Hearing of Objections (Sec 15),76,Approved,0,4,0.95,1,0,14.0,0,Rehabilitation & Resettlement
Urban Infrastructure,Forest,78.04,41,97,Physical Possession,28,Pending,0,3,0.91,1,1,38.7,0,Approval
Highways,Agricultural,71.51,181,297,Award & Compensation (Sec 23),123,Not Applicable,0,0,1.02,1,0,27.2,0,Rehabilitation & Resettlement
Irrigation,Forest,298.87,107,145,Hearing of Objections (Sec 15),21,Approved,0,1,1.02,1,1,14.0,0,Possession
Urban Infrastructure,Agricultural,19.05,36,67,Survey & Demarcation,170,Approved,1,0,0.88,1,1,38.7,0,Legal
Railways,Agricultural,85.44,209,335,Declaration of Acquisition (Sec 19),22,Not Applicable,0,8,0.89,1,1,33.8,0,Compensation
Energy,Government/Barren,40.93,12,19,Preliminary Notification (Sec 11),150,Approved,0,2,0.96,1,1,14.3,0,Compensation
Urban Infrastructure,Commercial,66.42,369,617,Survey & Demarcation,88,Approved,0,4,0.9,1,1,16.3,0,Documentation/Survey
Highways,Agricultural,169.54,299,599,Preliminary Notification (Sec 11),71,Approved,0,1,0.81,1,1,9.3,0,Documentation/Survey
Irrigation,Government/Barren,102.23,55,71,Survey & Demarcation,26,Approved,0,7,0.85,1,0,33.2,0,Documentation/Survey
Industrial,Agricultural,46.39,80,135,Preliminary Notification (Sec 11),312,Approved,0,0,1.03,0,1,27.0,0,Approval
Railways,Agricultural,122.52,198,456,Preliminary Notification (Sec 11),16,Approved,0,5,0.9,1,1,5.0,0,Documentation/Survey
Urban Infrastructure,Agricultural,57.01,115,193,Hearing of Objections (Sec 15),87,Approved,0,8,0.82,1,1,36.8,0,Compensation
Energy,Forest,35.69,14,29,Declaration of Acquisition (Sec 19),44,Pending,4,3,1.05,1,1,74.4,1,Legal
Energy,Commercial,45.65,247,534,Hearing of Objections (Sec 15),22,Approved,4,8,0.96,1,0,74.4,1,Legal
Industrial,Residential,17.45,55,76,Declaration of Acquisition (Sec 19),257,Approved,1,1,0.84,1,1,42.4,0,Legal
Industrial,Agricultural,14.95,21,32,Physical Possession,17,Approved,0,0,0.88,1,1,19.0,0,Compensation
Industrial,Agricultural,52.61,121,277,Declaration of Acquisition (Sec 19),57,Pending,0,0,0.9,1,1,27.3,0,Approval
Highways,Agricultural,52.13,100,248,Physical Possession,164,Approved,0,2,0.83,1,1,29.6,0,Compensation
Highways,Agricultural,137.07,262,291,Preliminary Notification (Sec 11),407,Approved,0,2,0.77,0,0,67.2,1,Rehabilitation & Resettlement
Railways,Agricultural,16.99,38,65,Award & Compensation (Sec 23),96,Pending,0,6,0.96,1,1,52.2,1,Approval
Industrial,Agricultural,54.38,91,166,Physical Possession,20,Approved,0,10,0.83,1,1,33.0,0,Compensation
Urban Infrastructure,Forest,62.2,33,71,Preliminary Notification (Sec 11),292,Pending,1,3,0.87,1,1,85.4,1,Approval
Energy,Agricultural,52.57,133,273,Award & Compensation (Sec 23),115,Approved,0,0,0.79,1,1,26.1,0,Compensation
Industrial,Agricultural,14.52,35,51,Hearing of Objections (Sec 15),81,Not Applicable,0,7,1.03,1,1,13.0,0,Compensation
Industrial,Agricultural,43.16,54,124,R&R Implementation,17,Approved,0,0,0.97,1,1,5.0,0,Documentation/Survey
Highways,Forest,57.15,28,69,Survey & Demarcation,141,Rejected,2,1,0.84,0,1,95.1,1,Approval
Energy,Commercial,16.29,98,111,Preliminary Notification (Sec 11),53,Approved,0,0,0.8,1,0,12.3,0,Rehabilitation & Resettlement
Energy,Agricultural,39.38,94,179,Hearing of Objections (Sec 15),95,Approved,0,2,0.92,1,1,8.6,0,Rehabilitation & Resettlement
Railways,Agricultural,110.53,227,556,Hearing of Objections (Sec 15),59,Approved,2,6,0.66,1,0,80.6,1,Legal
Industrial,Agricultural,79.3,99,164,Physical Possession,250,Approved,0,5,0.71,1,1,41.1,0,Compensation
Industrial,Agricultural,11.9,30,66,Preliminary Notification (Sec 11),105,Approved,0,1,0.92,1,1,14.1,0,Compensation
Irrigation,Agricultural,265.56,355,580,Award & Compensation (Sec 23),27,Approved,0,0,0.76,1,1,8.5,0,Documentation/Survey
Urban Infrastructure,Agricultural,44.71,108,269,Declaration of Acquisition (Sec 19),27,Not Applicable,0,1,0.77,1,1,12.4,0,Compensation
Urban Infrastructure,Commercial,31.91,154,321,R&R Implementation,28,Approved,1,4,0.89,1,0,45.7,0,Rehabilitation & Resettlement
Urban Infrastructure,Residential,68.32,264,298,Physical Possession,34,Approved,0,2,0.96,1,0,18.4,0,Rehabilitation & Resettlement
Industrial,Agricultural,77.66,179,429,R&R Implementation,18,Pending,1,1,0.69,1,1,68.7,1,Legal
Railways,Residential,235.12,753,1614,Survey & Demarcation,26,Approved,0,3,0.95,0,0,16.4,0,Rehabilitation & Resettlement
Irrigation,Government/Barren,295.71,80,141,Hearing of Objections (Sec 15),120,Not Applicable,0,0,0.9,1,1,10.0,0,Compensation
Irrigation,Government/Barren,323.29,122,143,Preliminary Notification (Sec 11),18,Approved,0,2,0.95,0,0,34.7,0,Rehabilitation & Resettlement
Industrial,Residential,19.98,55,73,Declaration of Acquisition (Sec 19),159,Approved,1,1,0.86,1,1,35.6,0,Legal
Highways,Agricultural,204.92,381,822,Hearing of Objections (Sec 15),201,Approved,1,4,0.78,1,0,63.4,1,Rehabilitation & Resettlement
Energy,Residential,16.06,98,169,Award & Compensation (Sec 23),56,Not Applicable,2,2,0.93,1,1,28.0,0,Legal
Urban Infrastructure,Forest,5.93,2,3,Physical Possession,41,Approved,4,3,0.98,1,1,52.4,1,Legal
Railways,Agricultural,160.29,366,608,Preliminary Notification (Sec 11),57,Approved,0,1,0.75,1,1,10.4,0,Compensation
Urban Infrastructure,Agricultural,50.37,67,115,Declaration of Acquisition (Sec 19),36,Not Applicable,0,2,0.93,1,1,8.9,0,Compensation
Highways,Agricultural,26.88,47,64,Declaration of Acquisition (Sec 19),50,Approved,0,0,0.88,1,1,9.6,0,Compensation
Energy,Commercial,69.28,348,712,Preliminary Notification (Sec 11),26,Approved,4,4,1.07,1,1,33.5,0,Legal
Irrigation,Government/Barren,206.92,66,115,Physical Possession,27,Pending,0,0,0.56,1,1,47.5,0,Approval
Railways,Agricultural,71.47,92,211,Physical Possession,45,Not Applicable,0,0,0.91,1,1,5.0,0,Possession
Industrial,Agricultural,68.41,174,404,Hearing of Objections (Sec 15),55,Approved,2,3,0.69,1,0,74.0,1,Legal
Highways,Forest,164.08,69,135,Physical Possession,29,Pending,1,2,0.9,1,1,50.5,1,Approval
Railways,Commercial,93.17,582,895,Declaration of Acquisition (Sec 19),219,Approved,0,4,0.99,1,0,31.2,0,Rehabilitation & Resettlement
Urban Infrastructure,Commercial,19.29,99,195,Award & Compensation (Sec 23),329,Approved,0,0,0.78,1,1,34.1,0,Compensation
Irrigation,Agricultural,124.2,329,735,Preliminary Notification (Sec 11),195,Approved,2,0,0.98,1,0,62.7,1,Legal
Industrial,Agricultural,33.52,69,121,Declaration of Acquisition (Sec 19),114,Approved,0,1,0.81,1,1,20.3,0,Compensation
Energy,Agricultural,67.36,185,296,Hearing of Objections (Sec 15),253,Approved,2,4,0.95,1,0,65.0,1,Legal
Industrial,Agricultural,24.81,31,69,Hearing of Objections (Sec 15),39,Not Applicable,0,2,0.94,1,1,5.0,0,Possession
Highways,Agricultural,57.97,106,259,Hearing of Objections (Sec 15),25,Approved,0,1,0.99,1,1,5.0,0,Compensation
Highways,Government/Barren,185.91,97,172,Physical Possession,99,Approved,0,0,0.71,1,1,41.4,0,Compensation
Highways,Agricultural,73.42,128,261,R&R Implementation,45,Approved,0,2,0.8,1,1,19.2,0,Compensation
Railways,Agricultural,203.3,389,894,Declaration of Acquisition (Sec 19),93,Approved,0,2,0.89,1,0,43.6,0,Rehabilitation & Resettlement
Urban Infrastructure,Agricultural,66.24,168,262,Survey & Demarcation,51,Pending,0,1,0.8,1,1,42.1,0,Approval
Industrial,Agricultural,50.81,76,182,Hearing of Objections (Sec 15),27,Approved,0,2,0.99,1,0,5.0,0,Documentation/Survey
Industrial,Agricultural,67.91,133,240,Declaration of Acquisition (Sec 19),20,Not Applicable,3,2,0.92,1,1,33.7,0,Legal
Industrial,Forest,57.61,29,60,Physical Possession,117,Rejected,0,8,0.91,1,1,77.5,1,Approval
Irrigation,Forest,369.56,168,395,R&R Implementation,133,Pending,0,2,0.98,1,1,43.9,0,Approval
Energy,Government/Barren,47.14,14,28,R&R Implementation,136,Approved,0,2,0.57,1,1,34.4,0,Compensation
Industrial,Residential,32.58,156,332,R&R Implementation,91,Approved,0,4,0.98,1,0,30.9,0,Rehabilitation & Resettlement
Highways,Agricultural,155.27,378,746,Hearing of Objections (Sec 15),31,Not Applicable,3,2,0.86,1,0,68.0,1,Legal
Urban Infrastructure,Agricultural,21.38,51,93,Hearing of Objections (Sec 15),203,Not Applicable,0,0,0.81,1,0,42.1,0,Compensation
Energy,Commercial,43.57,197,350,Hearing of Objections (Sec 15),59,Approved,0,5,0.69,1,1,30.6,0,Compensation
Industrial,Commercial,66.26,196,403,R&R Implementation,77,Approved,0,6,0.78,1,1,24.4,0,Compensation
Highways,Commercial,25.7,147,235,Award & Compensation (Sec 23),267,Approved,2,2,0.72,1,1,73.0,1,Legal
Railways,Agricultural,218.78,489,1193,Physical Possession,157,Approved,0,5,0.69,1,0,54.6,1,Compensation
Urban Infrastructure,Agricultural,55.32,116,136,Preliminary Notification (Sec 11),40,Pending,0,2,1.0,1,1,16.0,0,Approval
Urban Infrastructure,Forest,51.23,17,32,Hearing of Objections (Sec 15),137,Approved,0,2,0.9,1,1,22.4,0,Compensation
Railways,Residential,212.82,1232,1596,Survey & Demarcation,203,Approved,2,0,0.76,1,1,53.7,1,Legal
Industrial,Commercial,34.44,203,390,Hearing of Objections (Sec 15),183,Not Applicable,0,3,0.51,1,1,47.9,0,Compensation
Highways,Agricultural,69.46,112,159,Declaration of Acquisition (Sec 19),130,Pending,0,1,1.0,1,1,35.3,0,Approval
Industrial,Agricultural,54.0,136,247,Award & Compensation (Sec 23),129,Approved,0,1,0.82,1,1,19.6,0,Compensation
Industrial,Agricultural,29.77,41,83,Physical Possession,107,Approved,0,1,0.81,1,1,24.3,0,Compensation
Industrial,Residential,26.26,79,136,Physical Possession,121,Not Applicable,0,3,0.82,1,1,22.3,0,Compensation
Railways,Forest,175.83,88,171,Award & Compensation (Sec 23),230,Pending,0,4,0.89,1,0,76.0,1,Approval
Irrigation,Agricultural,266.96,648,1030,Physical Possession,94,Not Applicable,0,2,0.72,1,0,58.7,1,Rehabilitation & Resettlement
Industrial,Agricultural,28.69,51,67,Physical Possession,78,Pending,0,1,0.94,1,0,20.4,0,Approval
Railways,Government/Barren,42.99,13,28,R&R Implementation,100,Not Applicable,0,1,0.94,1,1,5.0,0,Possession
Irrigation,Residential,178.91,1103,1302,Award & Compensation (Sec 23),200,Pending,5,7,0.69,1,1,98.0,1,Legal
Urban Infrastructure,Commercial,55.22,229,316,Hearing of Objections (Sec 15),392,Approved,0,2,0.75,1,1,31.6,0,Documentation/Survey
Energy,Commercial,23.76,102,166,Award & Compensation (Sec 23),179,Approved,0,1,0.74,1,1,42.1,0,Compensation
Energy,Agricultural,24.75,41,67,Physical Possession,243,Pending,0,0,0.93,1,1,43.1,0,Approval
Energy,Agricultural,45.61,57,101,Physical Possession,198,Pending,0,2,0.98,1,0,45.6,0,Approval
Railways,Forest,179.09,69,142,Survey & Demarcation,80,Pending,2,2,0.87,0,1,70.4,1,Approval
Railways,Forest,176.21,88,185,Award & Compensation (Sec 23),51,Approved,0,0,0.87,1,1,22.9,0,Compensation
Energy,Government/Barren,34.88,16,18,Survey & Demarcation,60,Not Applicable,0,1,0.93,1,1,5.0,0,Documentation/Survey
Urban Infrastructure,Agricultural,43.28,105,181,R&R Implementation,84,Approved,0,0,0.9,1,0,20.4,0,Rehabilitation & Resettlement
Irrigation,Commercial,386.55,1768,3059,Hearing of Objections (Sec 15),242,Approved,0,4,0.69,1,1,55.7,1,Documentation/Survey
Energy,Agricultural,74.87,136,193,R&R Implementation,69,Pending,0,2,1.02,1,1,30.6,0,Approval
Energy,Agricultural,39.24,94,218,Award & Compensation (Sec 23),63,Approved,0,1,0.97,1,0,6.1,0,Rehabilitation & Resettlement
Irrigation,Agricultural,243.7,406,578,Physical Possession,236,Approved,2,0,0.95,1,1,42.4,0,Legal
Industrial,Agricultural,60.72,151,253,R&R Implementation,113,Not Applicable,2,3,0.93,1,0,56.9,1,Legal
Railways,Agricultural,95.35,161,357,Preliminary Notification (Sec 11),96,Not Applicable,0,1,0.83,1,1,24.9,0,Compensation
Industrial,Agricultural,78.12,124,309,Physical Possession,21,Approved,0,4,0.9,1,0,16.9,0,Rehabilitation & Resettlement
Industrial,Agricultural,22.7,43,48,Survey & Demarcation,18,Pending,0,0,0.88,0,1,29.8,0,Approval
Industrial,Agricultural,64.36,90,128,Award & Compensation (Sec 23),72,Not Applicable,0,1,0.89,1,1,8.4,0,Compensation
Energy,Agricultural,16.63,27,39,Award & Compensation (Sec 23),89,Approved,0,1,0.86,1,1,12.5,0,Compensation
Railways,Residential,111.3,429,529,Hearing of Objections (Sec 15),149,Pending,2,0,0.81,1,1,69.8,1,Legal
Highways,Forest,29.26,12,28,R&R Implementation,61,Pending,0,2,0.95,1,1,32.3,0,Approval
Industrial,Government/Barren,61.19,22,27,Award & Compensation (Sec 23),88,Pending,0,2,0.72,1,1,45.4,0,Approval
Industrial,Agricultural,29.26,46,85,R&R Implementation,30,Approved,0,1,0.81,1,1,12.6,0,Compensation
Energy,Forest,74.44,21,24,Award & Compensation (Sec 23),33,Pending,3,2,0.88,1,1,85.8,1,Legal
Industrial,Commercial,10.89,31,67,Declaration of Acquisition (Sec 19),30,Approved,0,0,1.06,1,1,5.0,0,Rehabilitation & Resettlement
Industrial,Government/Barren,61.46,26,31,Declaration of Acquisition (Sec 19),128,Approved,0,1,0.72,1,1,29.9,0,Compensation
Industrial,Forest,10.37,5,7,Preliminary Notification (Sec 11),37,Rejected,1,1,0.87,0,1,96.1,1,Approval
Railways,Agricultural,51.66,122,148,Hearing of Objections (Sec 15),159,Pending,1,0,1.07,1,1,48.4,0,Approval
Railways,Residential,19.32,92,186,R&R Implementation,39,Approved,0,6,1.03,1,1,15.5,0,Compensation
Industrial,Agricultural,43.14,100,236,Declaration of Acquisition (Sec 19),46,Approved,0,1,0.74,1,1,26.0,0,Compensation
Energy,Agricultural,51.93,135,316,Survey & Demarcation,23,Not Applicable,1,1,0.8,1,1,31.5,0,Legal
Urban Infrastructure,Government/Barren,38.69,10,20,Hearing of Objections (Sec 15),33,Approved,0,5,0.58,1,1,28.9,0,Compensation
Railways,Residential,89.89,557,1362,Physical Possession,57,Approved,0,2,0.72,1,0,38.8,0,Rehabilitation & Resettlement
Energy,Forest,33.05,16,28,R&R Implementation,95,Pending,2,5,0.7,1,1,98.0,1,Legal
Highways,Residential,104.39,399,780,Physical Possession,197,Pending,3,1,0.93,1,0,88.6,1,Legal
Industrial,Government/Barren,26.84,9,13,Preliminary Notification (Sec 11),85,Not Applicable,0,2,0.92,1,1,5.0,0,Compensation
Railways,Government/Barren,73.77,34,80,Survey & Demarcation,105,Pending,0,4,0.76,1,1,41.6,0,Approval
Energy,Government/Barren,16.26,8,10,Physical Possession,31,Pending,0,1,0.62,1,1,57.8,1,Approval
